[22:42:45] [Yara DETECT] File: C:\Nexon\EA SPORTS(TM) FC ONLINE\chrome_elf.dll | Rules Matched: PE_Process_Injection_Toolmark
[22:42:46] [Yara DETECT] File: C:\Nexon\NexonPlug\chrome_elf.dll | Rules Matched: PE_Process_Injection_Toolmark
[22:42:50] [Yara DETECT] File: C:\Program Files\BlueStacks_nxt\BlueStacksAppplayerWeb.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:42:56] [Yara DETECT] File: C:\Program Files\Git\mingw64\bin\gcmcore.dll | Rules Matched: Suspicious_PowerShell_Loader
[22:42:57] [Yara DETECT] File: C:\Program Files\Git\mingw64\bin\git-lfs.exe | Rules Matched: Suspicious_PowerShell_Loader
[22:42:59] [Yara DETECT] File: C:\Program Files\Git\mingw64\libexec\git-core\gcmcore.dll | Rules Matched: Suspicious_PowerShell_Loader
[22:43:03] [Yara DETECT] File: C:\Program Files\Git\usr\bin\msys-2.0.dll | Rules Matched: PE_Process_Injection_Toolmark
[22:43:14] [Yara DETECT] File: C:\Program Files\GitExtensions\GitUI.dll | Rules Matched: Suspicious_PowerShell_Loader
[22:43:15] [Yara DETECT] File: C:\Program Files\GitExtensions\ConEmu\ConEmuCD.dll | Rules Matched: PE_Process_Injection_Toolmark
[22:43:15] [Yara DETECT] File: C:\Program Files\GitExtensions\ConEmu\ConEmuCD64.dll | Rules Matched: PE_Process_Injection_Toolmark
[22:43:18] [Yara DETECT] File: C:\Program Files\Google\Chrome\Application\chrome.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:43:18] [Yara DETECT] File: C:\Program Files\Google\Chrome\Application\new_chrome.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:43:23] [Yara DETECT] File: C:\Program Files (x86)\BlueStacks X\BlueStacksWeb.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:43:31] [Yara DETECT] File: C:\Program Files (x86)\ESTsoft\ALToolsManager\TaskbarPin.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:43:31] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:43:32] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\Edge\Application\146.0.3856.97\mscopilot.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:43:32] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\Edge\Application\146.0.3856.97\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:43:32] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\Edge\Application\146.0.3856.97\msedgewebview2.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:43:32] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.84\mscopilot.exe | Rules Matched: PE_Process_Injection_Toolmark
